subject,cond_a,cond_b,n_total,nll_full,bic_full,k_a_full,d_a_full,k_b_full,d_b_full,nll_A,bic_A,k_A,d_a_A,d_b_A,nll_B,bic_B,k_a_B,k_b_B,d_B
1,8,16,150,666.960091104409,1353.9627233852,3.06890784241183,1.83143310683059,1.54925092923418,2.78744246392152,667.802958816318,1350.63782351493,2.47250900837064,1.95047430580813,2.14056315401117,667.912543127544,1350.85699213738,2.68948864897623,2.4061169509138,2.01617089300683
2,8,16,150,697.672716059271,1415.38797329493,3.15364758696353,1.42116165467502,2.62262527054518,1.95924676297136,697.798963851566,1410.62983358542,2.87342285235426,1.44115774649586,1.90197964570256,699.627133124359,1414.28617213101,2.68663715651044,3.20564709218943,1.62359563885218
3,8,16,150,646.007642622911,1312.05782642221,3.90676752668832,2.14613843274297,2.72309890267077,2.0592108348757,646.506404491487,1308.04471486526,3.25722852662389,2.28701023445367,1.9365286813432,646.029946759552,1307.09179940139,3.98871555614342,2.6450829303844,2.10762469388912
5,8,16,150,800.060775101305,1620.16409137899,3.51225502205399,0.883878147566467,2.08999556005594,1.06894817435788,800.725130633326,1616.48216714894,2.65930163867169,0.890911205860332,1.0316703449124,800.68544779605,1616.40280147439,3.44717594869858,2.30340019087252,0.960841685717708
6,8,16,150,713.170795799353,1446.38413277509,6.5108271958978,1.28616118159882,3.33907644391244,1.61618938957472,714.687700200831,1444.40730628395,4.59379420568191,1.29310334663195,1.53180900819069,714.627606276937,1444.28711843616,6.36539701129329,3.82717875554316,1.40655228185916
7,8,16,150,591.904954913649,1203.85245100368,3.92707283453013,2.90793991163204,1.53956569188555,6,592.269264716747,1199.57043531578,1.57128638430544,6,5.96469883823718,592.259769767739,1199.55144541777,1.59360212890691,1.53956555555236,6
8,8,16,150,610.400320032877,1240.84318124214,3.11226974118673,3.20385083008809,1.00078389349176,6,610.659267606353,1236.35044109499,1.44314374559066,6,4.37811232385821,610.556736725632,1236.14537933355,1.80567397826846,1.23092038858042,4.98564576883571
9,8,16,150,618.426364028444,1256.89526923327,3.30027776053395,3.30811389795574,2.03756660617471,2.63695228081259,618.501177480993,1252.03426084427,2.13906224358331,4.67502798989698,2.5614824713873,618.498251463446,1252.02840880918,3.90509252433108,1.77944437523553,2.90895125033129
10,8,16,150,640.332329784428,1300.70720074524,0.958628999380308,6,1.38464460146562,3.2245945401045,640.35322502239,1295.73835592707,1.24421170330705,4.77736528507899,3.49950534737009,640.403823307914,1295.83955249812,1.49022364049675,1.03216492580672,4.08297544066581
11,8,16,150,688.626094963657,1397.2947311037,4.92812015570158,1.55658000396223,3.30514553399547,1.66467562657339,689.356750263571,1393.74540640943,4.02229613257925,1.58986550280785,1.60387570321692,688.745202954417,1392.52231179112,4.828145247929,3.42872591438015,1.60151054574203
12,8,16,150,676.865450156071,1373.77344148853,3.82087081178156,1.88018823798267,4.21317314094165,1.53379893339633,676.90266640291,1368.83723868811,4.02596488124701,1.85746944238375,1.54212698839076,677.864880662123,1370.76166720653,4.34343148138406,3.88025615477697,1.67436904827845
13,8,16,150,631.019337857965,1282.08121689231,5.30333359361537,2.19615493191235,3.19051505753323,2.02977212640757,631.91143886923,1278.85478362075,4.21688598780984,2.36012195022946,1.87177685338198,631.104247273011,1277.24040042831,5.48592175294745,2.96501257425287,2.1308390387447
14,8,16,150,681.886460672053,1383.81546252049,4.58044541050783,1.67084953976094,2.88482808761926,1.71041274646746,682.766335894555,1380.5645776714,3.67233768176574,1.72717457746357,1.62209348369245,681.898761797521,1378.82942947733,4.54264599891282,2.93474834093135,1.68665530452765
15,8,16,150,618.398435648003,1256.83941247239,1.32317308039354,6,0.885761771196385,6,618.482281380153,1251.99646864259,1.3112033771784,6,4.27794135167661,618.398435648003,1251.8287771783,1.32317301790013,0.885761885422449,6
17,8,16,150,656.722444727989,1333.48743063236,0.665915046110279,6,0.75866057074885,4.92279354036397,656.723878790161,1328.47966346261,0.666296256847947,6,5.51462755561135,656.72627028302,1328.48444644833,0.665915078227795,0.606440065318827,6
19,8,16,150,625.468179924362,1270.97890102511,2.4717855899581,3.98684168346403,4.25267662463277,1.82775674139008,625.657312583886,1266.34653105006,4.00727370142249,2.80145242129289,1.84956041577577,627.862479823503,1270.7568655293,5.54128696044868,3.60733816041715,2.09623886579108
20,8,16,150,614.207999923504,1248.45854102339,5.368632239267,2.07130927731272,1.23801020252817,6,616.184319371346,1247.40054462498,4.0326330859953,2.23970114717906,2.44665182732576,616.078754180252,1247.18941424279,4.67355794023804,3.80278538692235,2.29554300229105
21,8,16,150,649.90435901131,1319.85125919901,0.922876423548526,6,3.64047838721551,1.77855535213817,651.378814110522,1317.78953410333,2.96706819763549,2.43479075865977,1.86540083812274,652.753377562442,1320.53866100717,3.30737416743551,3.06483308029426,2.03197568968095
22,8,16,150,672.399410829974,1364.84136283633,3.93373772635226,2.09586375567992,4.29262953264349,1.44894847692189,672.430699970671,1359.89330582363,4.11972146837811,2.06665700480823,1.45475357956452,675.518898105816,1366.06970209392,4.93832614127245,3.77977808077826,1.67636546901232
23,8,16,150,633.781186935531,1287.60491504745,1.5067132140425,4.62111968468639,0.682924321067218,6,633.966041617769,1282.96398911783,1.10067822124581,6,3.98548099942038,633.789977533972,1282.61186095023,1.11794330112326,0.682924250905296,6
24,8,16,150,805.802373368079,1631.64728791254,2.86462413842583,0.990790952476398,2.5469400329377,0.858806542475183,805.835901210973,1626.70370830424,2.70939323801465,0.995287222582481,0.854573137208678,806.151276179839,1627.33445824197,2.96059893603963,2.42080017734794,0.925738231927995
25,8,16,150,660.898490861583,1341.83952289955,3.61083340515401,1.72658663624958,2.24958600304522,2.51962167473985,661.435605845581,1337.90311757345,3.07751992608878,1.78631568354804,2.16117881206539,662.270919931949,1339.57374574619,3.16027503457443,3.2510469454552,1.91929386679049
26,8,16,150,703.921304199757,1427.8851495759,3.29291283271086,1.63684201060706,2.32545627442853,1.58911597339966,704.421030172953,1423.87396622819,2.77316807445863,1.69430306805088,1.52299787886012,703.938701005234,1422.90930789276,3.33356831318933,2.27835917039006,1.61626640474371
27,8,16,150,610.778621034482,1241.59978324535,4.67620853812604,2.43934449482564,3.86139461895005,2.29755989917669,610.867197192451,1236.76630026719,4.1925806271351,2.55989691860447,2.22781854064222,610.809868703092,1236.65164328847,4.87238158501036,3.69555471837163,2.36896969736485
29,8,16,150,647.961897628251,1315.96633643289,2.33801817551197,2.55789599301838,3.26394305817566,1.97063918247204,648.155484175591,1311.34287423347,2.92201834984422,2.27619462484424,2.0419755656585,648.386605981868,1311.80511784603,3.05780171192933,2.9007830744997,2.1314792611932
31,8,16,150,591.772233992711,1203.58700916181,1.89419358112326,6,1.3181053235078,6,591.800853744945,1198.63361337218,1.88624000967618,6,4.39987683803445,591.77223399271,1198.57637386771,1.89419428679175,1.31810522795557,6
33,8,16,150,626.748326949417,1273.53919507522,4.29446254042934,2.13264401542026,0.964257023657616,6,628.276549060744,1271.58500400378,3.37806699305241,2.31080261969007,2.3413499003524,627.864656430929,1270.76121874415,3.85968594192064,3.00362865982316,2.32555757041552
35,8,16,150,618.874470138358,1257.7914814531,4.05896393353477,2.49680063646472,2.5989416795435,2.57530673985683,619.13630807257,1253.30452202743,3.09502324242622,2.90101115868415,2.35127092124876,618.878145882428,1252.78819764715,3.98160657817227,2.66869113742257,2.52833155380497
37,8,16,150,703.424949681116,1426.89244053862,2.39364990163365,1.86878828617654,2.95610122681464,1.4471970534722,703.558797098945,1422.14950008018,2.60301924929076,1.8196451310231,1.48114939340586,704.549326037756,1424.1305579578,2.78561492345524,2.40460991920637,1.63089286518698
39,8,16,150,616.827931376684,1253.69840392975,2.72996901709305,3.04424784638689,1.01500219467058,6,616.978215440993,1248.98833676428,1.89282442752125,4.02375334046275,3.54137376012235,616.929201594284,1248.89030907086,2.18358768842844,1.82701297464896,3.61625828107462
41,8,16,150,701.34197106707,1422.72648331052,2.10331725183388,1.7320908383087,2.49067752523154,1.70561288011068,701.41732403452,1417.86655395133,2.32040827573237,1.67965496104471,1.74025650350139,701.345055251421,1417.72201638513,2.1349132715678,2.46942590286071,1.71648590948851
43,8,16,150,620.903448520745,1261.84943821787,5.99081832902247,2.03831231513118,1.68341080545909,3.84190640351887,623.368309711285,1261.76852530486,4.50014630783256,2.16778749179948,2.11982628723211,621.945034868081,1258.92197561845,5.60877560288379,3.48525017187575,2.18166240093937
45,8,16,150,687.7323718649,1395.50728490618,1.09247464857552,3.01833940504535,1.87551287893845,1.89563296290118,688.028478303176,1391.08886248864,1.62449604144164,2.33014053594461,2.01336023929081,688.337739139169,1391.70738416063,1.759120036737,1.56929642189361,2.13062354776833
47,8,16,150,673.506149570081,1367.05484031655,3.22652097355956,1.93429196742522,2.88464108847146,1.73637337490025,673.549236764444,1362.13037941118,3.03438849799266,1.97072997045963,1.71513281536394,673.700098956609,1362.43210379551,3.47468209599045,2.69648882694707,1.82937983406896
49,8,16,150,678.197264697176,1376.43707057074,3.01598623284946,1.75162766178183,2.22288875141269,2.06226506172724,678.525130167649,1372.08216621759,2.60992864325927,1.81827429836702,1.93889298891314,678.561041061543,1372.15398800537,2.78348188808773,2.5138923150677,1.86780224785643
51,8,16,150,669.028366380491,1358.09927393737,2.68383680918542,2.0304579099346,4.38868144274012,1.67264654427345,669.747088469735,1354.52608282176,3.68045811019473,1.83786674780945,1.71884579671169,669.620285067735,1354.27247601776,3.29299561425713,4.13294174229438,1.77828779044218
53,8,16,150,698.289894996028,1416.62233116844,4.90761040934263,1.47913233742042,3.6368344807705,1.58953158830921,698.735478017151,1412.50286191659,4.29951898034248,1.49403908369731,1.5495623681176,698.437538004826,1411.90698189194,4.83666263855029,3.76729182913452,1.52670695559283
55,8,16,150,657.225576432419,1334.49369404122,0.788783459084518,6,0.508053577911217,6,657.274199910997,1329.58030570428,0.784369565933014,6,4.12110046752027,657.225576432419,1329.48305874713,0.788783603348812,0.508053621075061,6
1,16,32,150,692.218948563621,1404.48043830363,1.54925092923418,2.78744246392152,1.56941733975267,1.72646000650955,692.219118836202,1399.47014355469,1.56377722516659,2.77021159820861,1.72892435228421,693.084135049336,1401.20017598096,2.21011740101738,1.0772559399386,2.15033732037241
2,16,32,150,727.797201575155,1475.63694432669,2.62262527054518,1.95924676297136,2.21506778080692,1.09279726525278,727.871921354134,1470.77574859056,2.45839224142662,2.00342671450451,1.07550854067443,731.702872943271,1478.43765176883,2.98022834302521,0.694803608760751,1.7527103388141
3,16,32,150,673.230036677567,1366.50261453152,2.72309890267077,2.0592108348757,0.430885903689582,6,675.871211074029,1366.77432803035,1.87633409093454,2.40679389184454,2.01357035572354,674.374521279941,1363.78094844217,2.43809587960237,1.40310764086999,2.24451719236122
5,16,32,150,809.081599394714,1638.20573996581,2.08999556005594,1.06894817435788,3.01484374341351,0.770785104433655,809.415317652039,1633.86254118637,2.49772302336074,1.04038597345593,0.775015645222524,810.74749150693,1636.52688889615,2.3980018280202,2.90487390543344,0.89874929354337
6,16,32,150,713.025130547127,1446.09280227064,3.33907644391244,1.61618938957472,2.45497701401923,1.42746187840825,713.252357155456,1441.5366201932,2.99309494753984,1.6514704368235,1.37540054485045,713.285228617463,1441.60236311721,3.50678370114008,2.0579236669206,1.54750442647738
7,16,32,150,640.192201870615,1300.42694491761,1.53956569188555,6,1.40070477234234,2.36398092474386,640.207131149192,1295.44616818067,1.52435404003096,6,2.25359878305829,640.925884959544,1296.88367580138,2.39524808224776,0.672851934387637,4.03597723136097
8,16,32,150,638.962469821939,1297.96748082026,1.00078389349176,6,2.01299214504753,2.48873377378849,639.171365162573,1293.37463620743,1.71304555186975,3.79597903910525,2.74671303507355,639.437084990296,1293.90607586288,2.08462639461957,1.41908159328287,3.18427062327638
9,16,32,150,679.431880512959,1378.9063022023,2.03756660617471,2.63695228081259,1.13891826308414,2.20354939116063,679.730878260546,1374.49366240338,1.31946467988353,3.56361784753704,2.03494205713402,679.521043779464,1374.07399344122,2.26718462505315,0.98025894698393,2.44184293022751
10,16,32,150,710.201625620357,1440.4457924171,1.38464460146562,3.2245945401045,2.14682161521077,1.22281718676097,710.358229891202,1435.74836566469,1.95830317971385,2.54380044490507,1.24594394389275,714.838239862264,1444.70838560682,2.72788083164176,0.734720396541506,1.95193476331709
11,16,32,150,721.103204092124,1462.24894936063,3.30514553399547,1.66467562657339,1.68985893428412,1.40407594060697,722.503076982232,1460.03805984675,2.57525683810172,1.75639871758555,1.26302548828633,721.49163078506,1458.01516745241,3.45056185128821,1.34690645639133,1.59020940610491
12,16,32,150,726.138011106328,1472.31856338904,4.21317314094165,1.53379893339633,2.62000557771199,1.25400952345354,726.823206858095,1468.67831959848,3.52945467854755,1.56795267079481,1.20603259565049,727.050405163776,1469.13271620984,4.44161385113775,2.10617636204934,1.41943046878566
13,16,32,150,667.852299536763,1355.74714024991,3.19051505753323,2.02977212640757,0.446653952587687,6,670.793726995538,1356.61935987336,1.76647691896338,2.62701206334549,2.12082856045024,669.121425425601,1353.27475673349,2.7213221732271,1.44112341403152,2.24928007485267
14,16,32,150,723.834432926781,1467.71140702995,2.88482808761926,1.71041274646746,2.00607346393701,1.30922902808145,724.25929226064,1463.55049040357,2.40748214472898,1.79255330117808,1.25993595054109,725.018953598116,1465.06981307852,3.22975597494833,1.51538756156741,1.54213827342493
15,16,32,150,666.299570057814,1352.64168129201,0.885761771196385,6,2.29983046644505,1.72999352760445,666.697629474147,1348.42716483058,2.10805594346638,2.94525795180492,1.77784366617524,668.692302654034,1352.41651119036,3.11402785529382,1.68535463691195,2.10280261235304
17,16,32,150,684.74368623979,1389.52991365597,0.75866057074885,4.92279354036397,1.20119873937785,2.17990856013557,684.779155023801,1384.59021592989,1.15433067326574,3.47513415789603,2.22881352216271,685.130448389956,1385.2928026622,1.68528151958505,0.940086978828796,2.5771278304211
19,16,32,150,679.120697109608,1378.2839353956,4.25267662463277,1.82775674139008,3.44087662893401,1.55471958764263,679.28807691469,1373.60805971167,3.88138771178239,1.86174449272173,1.52530206516796,679.731314124406,1374.4945341311,4.56553722177027,3.05852033463147,1.69279866654459
20,16,32,150,664.651852992285,1349.34624716095,1.23801020252817,6,1.46258802723215,1.82185718070186,664.699705836174,1344.43131755464,1.38478966940375,5.47579081950882,1.86644654344423,666.468938226913,1347.96978233611,3.32512703781221,0.837512998304206,2.56827927893781
21,16,32,150,700.954229831986,1421.95100084036,3.64047838721551,1.77855535213817,2.86245921670983,1.39044765015946,701.166465474925,1417.36483683214,3.25272236521397,1.82429737982308,1.36358215174636,702.290586076328,1419.61307803494,4.09866505125765,2.40747063983331,1.58030072759489
22,16,32,150,739.469717314856,1498.9819758061,4.29262953264349,1.44894847692189,3.14605079469668,1.14097286128365,739.846399666724,1494.72470521574,3.72791416029246,1.46944281051116,1.12520451424285,740.97987907933,1496.99166404095,4.54794345017188,2.84754031748544,1.29387040905621
23,16,32,150,681.415267687806,1382.873076552,0.682924321067218,6,1.38962692016474,1.98683815855569,681.701258992814,1378.43442386792,1.25709220860154,3.57457757620631,2.08863039228507,682.63762647639,1380.30715883507,1.92734848246311,0.990037887293973,2.48704034445341
24,16,32,150,824.110267400157,1668.2630759767,2.5469400329377,0.858806542475183,2.61127326780578,0.751390482903297,824.111555214148,1663.25501631059,2.57594799560444,0.858008122855695,0.752009536098218,824.356154532083,1663.74421494645,2.62624880227624,2.52771676575107,0.804312496100792
25,16,32,150,694.756736787766,1409.55601475192,2.24958600304522,2.51962167473985,1.25975843110705,1.66128370330298,695.101532220564,1405.23497032342,1.51846296741686,3.25234916501886,1.53983151703713,695.315459387454,1405.6628246572,2.63038121950258,0.743574779051704,2.25605792064818
26,16,32,150,721.149542386476,1462.34162594934,2.32545627442853,1.58911597339966,1.73756847033363,1.62817401279906,721.387323864888,1457.80655361207,2.07074975245332,1.63912064203894,1.53913109332768,721.157088838513,1457.34608355931,2.30063450382948,1.78122072792143,1.60343161974324
27,16,32,150,657.534992509956,1335.1125261963,3.86139461895005,2.29755989917669,1.99731400744488,1.88622460898491,658.517010020811,1332.06592592391,2.52610632380464,2.82436050393231,1.73832396004616,657.896291952185,1330.82448978666,4.28839534949906,1.6594124687847,2.12620927294188
29,16,32,150,699.400345470905,1418.8432321182,3.26394305817566,1.97063918247204,2.28196563598575,1.37847169591246,699.791233530516,1414.61437294332,2.66306037480501,2.10986858149689,1.33709360365437,701.529790824844,1418.09148753198,4.00623950224056,1.67033795260624,1.67363769499419
31,16,32,150,650.985314926528,1322.01317102944,1.3181053235078,6,2.43783465789355,1.72100766452683,651.065257754087,1317.16242139046,2.38451278727014,3.63171489227897,1.73201337093705,653.662065664735,1322.35603721176,4.60611685552231,1.76318651758966,2.12671362322759
33,16,32,150,651.572702525495,1323.18794622738,0.964257023657616,6,0.487577548722976,6,651.723275911528,1318.47845770534,0.951383519598091,6,3.40883964657449,651.572702525495,1318.17731093328,0.964257023657616,0.487577548722976,6
35,16,32,150,654.23033136937,1328.50320391513,2.5989416795435,2.57530673985683,0.490364271517507,6,655.250904704011,1325.53371529031,1.00056012696088,5.22999395302423,3.29389741889072,654.713569758913,1324.45904540012,1.97092465228128,1.03895041062016,3.13278957288533
37,16,32,150,736.653015862465,1493.34857290131,2.95610122681464,1.4471970534722,1.56826833252871,1.4646497110229,737.680205742224,1490.39231736674,2.05548574978661,1.56082527241923,1.35175633665962,736.655102694141,1488.34211127057,2.93909490663381,1.58682685899743,1.45317752419444
39,16,32,150,645.362183262736,1310.76690770186,1.01500219467058,6,0.548044922524198,6,645.464277796638,1305.96046147556,1.00445307111519,6,3.583668800748,645.362183262736,1305.75627240776,1.01500219467058,0.548044922524198,6
41,16,32,150,708.836661369914,1437.71586391621,2.49067752523154,1.70561288011068,1.46018788907532,1.83266749496143,709.566839606848,1434.16558509598,1.95465163244546,1.83626994693063,1.63492100339954,708.887639368717,1432.80718461972,2.41195219278167,1.57222375200185,1.74605928491737
43,16,32,150,677.360231396972,1374.76300397033,1.68341080545909,3.84190640351887,1.85274336916663,1.55872807983385,677.363011862389,1369.75792960707,1.84244109113257,3.57534222881946,1.56141520093003,680.004857082188,1375.04162004666,3.67043897907456,1.09750920294238,2.09244744409172
45,16,32,150,727.9886550085,1476.01985119338,1.87551287893845,1.89563296290118,0.848237652125727,1.84711925817566,728.955469109457,1472.9428441012,1.33165938667506,2.21158354079727,1.48399833590357,727.991077855199,1471.01406159269,1.88932235937468,0.820885622413926,1.88613549487054
47,16,32,150,715.527244455469,1451.09703008732,2.88464108847146,1.73637337490025,1.3420739252804,1.6247248142259,717.079302627389,1449.19051113707,2.06437317010813,1.90934590466105,1.39901432798792,715.568910777419,1446.16972743713,2.94159906745101,1.2342040144066,1.70830350412309
49,16,32,150,692.016191194455,1404.07492356529,2.22288875141269,2.06226506172724,2.19075231817568,1.66204694077791,692.016891055367,1399.06568799302,2.20525452256715,2.06899907526656,1.65889594601416,692.601727108405,1400.2353600991,2.56358668232654,1.90981226507413,1.83646400608359
51,16,32,150,717.960075477217,1455.96269213082,4.38868144274012,1.67264654427345,3.03777321876062,1.19446305706076,718.418142712818,1451.86819130792,3.80350906899063,1.70973567448068,1.16882004565325,720.779779399647,1456.59146468158,4.86442873253148,2.27582197510768,1.44055863301258
53,16,32,150,736.315281855742,1492.67310488787,3.6368344807705,1.58953158830921,2.86285978644062,1.09194786981423,736.46555373337,1487.96301334903,3.38045781436993,1.60858450976411,1.07548213912374,739.340964742575,1493.71383536744,4.03893229772001,1.67641499156903,1.38005522833003
55,16,32,150,697.776292357606,1415.5951258916,0.508053577911217,6,0.79111850563305,2.54529001176186,697.815614244957,1410.6631343722,0.708342106487292,4.49124363916686,2.74629545488063,697.970749739221,1410.97340536073,0.957051070462666,0.521310911859067,3.47441321629641
